,Texts,Midia,Rationales
120,"A medida atingirá programas centrais no atendimento à população, o que deflagrou o temor de repercussão negativa nas urnas.",Folha,atingirá programas centrais; deflagrou o temor
121,E alfinetou:,Folha,E alfinetou:
122,"Procurado pela campanha bolsonarista, Moro declarou voto no presidente e foi ao debate promovido por Folha, UOL, Band e TV Cultura neste domingo (16) ao lado do candidato à reeleição -o ex-ministro foi convidado para provocar e desestabilizar Lula.",Folha,foi convidado para provocar e desestabilizar
123,A estratégia foi montada para evitar novos atrasos no processo contra Renan.,Folha,foi montada para evitar
124,Alguns queriam que a estátua ficasse danificada como um sinal dos tempos violentos.,Folha,Alguns queriam; tempos violentos
125,"A apenas um mês da Copa do Mundo do Qatar, o astro brasileiro Neymar disputa a partir desta segunda-feira (17) uma partida incômoda em Barcelona, onde começa o julgamento pelas supostas irregularidades em sua polêmica contratação pelo clube catalão há quase uma década.",Folha,partida incômoda; polêmica contratação
126,"Apesar de não descartar a disputa presidencial daqui a quatro anos, Moro também está de olho no Governo do Paraná, cuja vitória se tornaria viável com apoio de bolsonaristas.",Folha,também está de olho; cuja vitória se tornaria viável com apoio
127,"A extensa saga judicial provocada pela transferência de Neymar em 2013 dos Santos para o Barcelona tem um novo capítulo em um tribunal da cidade espanhola, com o início do julgamento da ação apresentada há sete anos pelo grupo DIS, fundo que possuía parte dos direitos econômicos do atleta quando ele era um promissor atacante do clube paulista.",Folha,quando ele era um promissor atacante
128,Há ainda outros casos famosos de ataques a obras de arte.,Folha,outros casos famosos de ataques
129,"Na partida contra o Equador, o time comandado pelo técnico Dunga também precisava apagar a imagem deixada após o empate sem gols com a Colômbia, em Bogotá, na estréia nas eliminatórias.",Folha,também precisava apagar a imagem
130,"Na prática, isso deve colocar os dois bem próximos politicamente.",Folha,isso deve colocar; próximos politicamente
131,A bola desviou em Ronaldinho e enganou o goleiro.,Folha,enganou o goleiro.
132,"No minuto seguinte, o centroavante em um bonito chute quase fez o segundo gol.",Folha,em um bonito chute
133,Ele só deve retornar ao Brasil a uma semana do segundo turno.,Folha,só deve retornar
134,Lula também deu um recado para os passivos (rs).,Folha,para os passivos (rs).
135,Presidente apequena imagem do Brasil com repetidas desinformações e não recebe atenção dos líderes globais,Folha,apequena imagem; com repetidas desinformações; não recebe atenção
136,Governador do Rio evoca livro de americanos que defendem a tese.,Folha,evoca; defendem a tese.
137,"A menos de 20 dias das eleições, a tesourada acendeu um alerta na equipe de campanha de Bolsonaro, em especial quanto ao Farmácia Popular, programa de distribuição gratuita ou com desconto de medicamentos.",Folha,tesourada acendeu um alerta; em especial quanto ao Farmácia Popular
138,"A obra foi atacada por um visitante no Museu do Louvre, disfarçado com uma peruca e uma touca, numa cadeira de rodas.",Folha,atacada
139,E qualquer um que previsse há quatro anos que o centroavante seria o melhor do planeta seria ridicularizado.,Folha,seria ridicularizado
140,"Elas são desenhadas para não matar (embora eventualmente o façam) e, por isso, acabam sendo usadas pelas polícias com liberalidade.",Folha,para não matar (embora eventualmente o façam); acabam sendo usadas; com liberalidade
141,"Com a morte do senador Antonio Carlos Magalhães, o PMDB tenta ganhar o espaço ocupado pelos carlistas na Bahia e conta com o nome de Lomanto -ex-deputado federal e com forte influência política no Estado- para isso.",Folha,Com a morte; tenta ganhar o espaço; conta com o nome; com forte influência política
142,"Os limites de gênero e o seu questionamento são marcantes em sua obra, embora não sejam seu tema único.",Folha,são marcantes; embora; embora não sejam
143,"O Sul, por outro lado, amargou período de seca.",Folha,amargou
144,"A gravação em áudio das caixas-pretas do voo Rio-Paris, que caiu no mar em 2009, matando as 228 pessoas a bordo, foi divulgada nesta segunda-feira (17) durante o processo da fabricante, Airbus, e da companhia aérea, Air France, em um tribunal de Paris -um momento extremamente forte para familiares e amigos das vítimas.",Folha,momento extremamente forte
145,"A Covid também marcou presença no discurso de Xi, mas de modo a reforçar a frustração daqueles que anseiam pelo abandono da polícia de Covid zero.",Folha,marcou presença; de modo a reforçar a frustração
146,"A saída encontrada agrada ao PMDB baiano, que vinha trabalhando para preservar a imagem de Lomanto.",Folha,vinha trabalhando para preservar a imagem
147,"Após anos como militante do movimento estudantil, no qual aperfeiçoou a retórica de palavras claras e contundentes de seus discursos, Meloni foi eleita, aos 29, deputada federal pelo partido Aliança Nacional, formado por membros do MSI.",Folha,como militante do movimento estudantil; aperfeiçoou a retórica de palavras claras e contundentes
148,"Depois dos dois lances, a seleção brasileira passou a tocar a bola no meio-campo e as vaias voltaram mais fortes.",Folha,vaias voltaram mais fortes
149,"O Senado tem freado a análise de propostas votadas a toque de caixa pelos deputados, como o Código Eleitoral, que também traz restrição à divulgação de pesquisas eleitorais.",Folha,freado; votadas a toque de caixa; também traz restrição
150,"A taxa de abstenção foi de 36,2%, a maior da história.",Folha,a maior da história
151,"A emenda segue agora para votação na Câmara, onde as chances de aprovação, no jeito que está, são remotas.",Folha,"chances de aprovação, no jeito que está, são remotas"
152,Não demorou muito para Love acertar a meta.,Folha,Não demorou muito
153,"Bolsonaro e Moro reataram, mas os termos ainda estão sendo costurados.",Folha,reataram; mas; estão sendo costurados
154,"A ação, feita pelo grupo Just Stop Oil, ou Parem Com o Petróleo, em Londres, não é a primeira em que eles danificam uma obra de arte para chamar atenção para assuntos relacionados ao meio ambiente.",Folha,não é a primeira em que eles danificam uma obra de arte para chamar atenção
155,Boicote a Congonhas gera filas e reclamações.,Folha,Boicote; gera filas e reclamações
156,"Uma mulher na menopausa que busca ativamente, e obtém, o gozo.",Folha,"menopausa; que busca ativamente, e obtém, o gozo"
157,Brasil deslancha no fim e goleia Equador em sua volta ao Maracanã,Folha,deslancha; goleia
158,A vitória é mais um golpe no duopólio de Lionel Messi e Cristiano Ronaldo no futebol mundial.,Folha,é mais um golpe no duopólio
159,"Por ser uma mistura de mentor e amigo de Potter e seus amigos, Hagrid acabou se tornando um dos personagens mais queridos dos fãs.",Folha,Por ser uma mistura; um dos personagens mais queridos
160,"A substituição tornou o time mais ofensivo, porém os meias brasileiros tiveram mais espaços para criar.",Folha,substituição tornou o time mais ofensivo; tiveram mais espaços
161,A subida de tom veio no momento de maior crise da campanha de Alckmin.,Folha,subida de tom veio; momento de maior crise
162,"A decisão de Fachin repercutiu negativamente em grupos armamentistas e entre os CACs (caçadores, atiradores e colecionadores).",Folha,repercutiu negativamente
163,"A equipe tocava a bola no meio-campo, mas não atacava com muito perigo.",Folha,com muito perigo.
164,"Na semana passada, Lira manobrou para facilitar a votação do projeto no plenário, ao anexar o texto de Ricardo Barros (PP-PR), líder do governo na Câmara, a uma proposição que já poderia ser analisada.",Folha,manobrou para facilitar; que já poderia ser analisada.
165,A avaliação entre os deputados sanguessugas é que o deputado Coriolano Sales (PFL-BA) se precipitou e expôs o PFL quando decidiu renunciar sozinho ao mandato.,Folha,deputados sanguessugas; se precipitou e expôs; renunciar sozinho
166,"No entanto, o que desmorona a crítica é a falta de credibilidade internacional de quem assinou medidas contrárias à proteção ambiental durante os quatro anos de governo, aos olhos de todo o mundo.",Folha,o que desmorona a crítica é a falta de credibilidade de quem assinou; aos olhos de todo o mundo
167,"Sem o petista, Bolsonaro protagonizou os embates mais duros com as senadoras Tebet e Soraya.",Folha,protagonizou os embates mais duros
168,"Seu programa é nacionalista, o que pode gerar conflitos com a União Europeia, e inclui propostas como bloqueio naval para conter a imigração.",Folha,é nacionalista; pode gerar conflitos; como bloqueio naval para conter a imigração.
169,Benzema era favoritíssimo para vencer depois de ter sido escolhido o melhor pela Uefa.,Folha,era favoritíssimo para vencer
170,"Aos 19, o atacante do CSKA perdeu grande chance de aumentar a contagem.",OGlobo,perdeu grande chance
171,"A maior tragédia ferroviária da história do Egito ocorreu em fevereiro de 2002, após o incêndio de um trem que cobria o trajeto entre Cairo e Luxor (sul), lotado de passageiros, e que deixou 376 mortos, segundo números oficiais.",OGlobo,maior tragédia; lotado de passageiros; 376 mortos
172,"Haddad usa mais verba pública, e Tarcísio tem mais apoio de empresários.",OGlobo,usa mais verba púbica; tem mais apoio de empresários
173,"O presidente Luiz Inácio Lula da Silva preferiu não polemizar sobre as vaias que recebeu na festa de abertura dos Jogos Pan-Americanos, no estádio do Maracanã, na última sexta-feira (13).",OGlobo,preferiu não polemizar sobre as vaias
174,"Também ocorre no momento em que a terceira maior economia da União Europeia, uma das mais endividadas, tenta lidar com a disparada dos preços da energia, as taxas de juros crescentes e as consequências da invasão russa da Ucrânia.",OGlobo,terceira maior economia; uma das mais endividadas; tenta lidar
175,"Sem jamais ter apresentado provas ou sequer indícios de irregularidades, Bolsonaro e seus apoiadores atacam o sistema eleitoral e as urnas eletrônicas, repetindo fake news já desmentidas pelos órgãos oficiais.",OGlobo,repetindo fake news já desmentidas pelos órgãos oficiais.
176,"Em tom de desafio, Almeida Lima respondeu:",OGlobo,Em tom de desafio
177,"Um encontro do chanceler Carlos França com seu par russo, Sergei Lavrov, às margens da reunião em Nova York, gerou mal-estar.",OGlobo,gerou mal-estar.
178,"Aproveitou para atacar o ex-presidente Lula, sem citá-lo nominalmente.",OGlobo,Aproveitou para atacar; sem citá-lo nominalmente
179,"Uma camiseta vale dois quilos de carne,  e a Barbara sente que não tem escolha.",OGlobo,Barbara sente
180,O Brasil tem ainda boas chances de medalhas neste penúltimo dia de competições:,OGlobo,tem ainda boas chances
181,"A diretora da Agência Nacional de Aviação Civil (Anac), Denise Abreu, decidiu nesta sexta-feira (24) ceder à pressão e renunciar ao cargo.",OGlobo,decidiu; ceder à pressão
182,Extravagâncias de tempos de inflação.,OGlobo,Extravagâncias
183,"Em 2018, por exemplo, o croata Luka Modric, vice-campeão, foi eleito o melhor jogador na Rússia e depois desbancou Messi e Cristiano Ronaldo, como o melhor do mundo.",OGlobo,desbancou
184,"O Globo, a utilidade de Moro para Bolsonaro deve durar apenas até uma possível reeleição do presidente, que deverá ""se livrar rapidamente"" de seu ex-ministro.",OGlobo,"deve durar apenas até; que deverá ""se livrar rapidamente"""
185,"Mas, para obter esses fundos, Roma deve implementar uma série de reformas complexas previamente negociadas pelo ex-primeiro-ministro Mario Draghi.",OGlobo,deve implementar uma série de reformas complexas
186,"Desde o primeiro processo, se destaca pela defesa árdua ao presidente da Casa.",OGlobo,se destaca
187,Como fica o futuro político de Moro?,OGlobo,Como fica; ?
188,"Uma das autoras mais influentes da literatura brasileira, ela lutava havia sete meses contra um câncer de pele descoberto já com metástase.",OGlobo,Uma das autoras mais influentes; lutava
189,Há 15 anos esse trecho não recebia um tostão de investimento.,OGlobo,não recebia um tostão
190,"A pesquisa de boca de urna da eleição na Itália divulgada neste domingo (25) aponta que a coalizão de direita - formada pelo partido pós-fascista Irmãos da Itália (Fratelli d'Italia, FDI) de Giorgia Meloni, a Liga de Matteo Salvini e Forza Italia (FI) do magnata Silvio Berlusconi - deve sair vencedora das eleições nacionais.",OGlobo,partido pós-fascista; deve sair vencedora
191,"Claudio Salituro é o quarto vice da Caixa a cair desde junho, quando servidoras denunciaram cúpula.",OGlobo,a cair; quando servidoras denunciaram
192,"Aos 12, Castillo cobrou sobre o gol, mas com perigo.",OGlobo,mas com perigo.
193,"Muitos iranianos, particularmente os jovens, veem a morte de Amini como uma evidência da repressão do governo da república islâmica e do tratamento cada vez mais violento da polícia dos costumes às mulheres jovens.",OGlobo,particularmente jovens; veem a morte de Amini como uma evidência da repressão do governo; tratamento cada vez mais violento
194,"O racha no partido persiste e a posição de Amoêdo contrasta com outro expoente do Novo, o governador reeleito de Minas Gerais, Romeu Zema.",OGlobo,O racha no partido persiste e a posição de Amoêdo contrasta com outro expoente
195,"A morte de Mahsa Amini, presa porque seu véu (ou hijab) estaria solto, desencadeou demonstrações de desafio às autoridades por parte da população nas ruas.",OGlobo,"morte; porque seu véu (ou hijab) estaria solto, desencadeou demonstrações de desafio"
196,"Para o governo, a saída de Denise e Zuanazzi, os dois diretores mais conhecidos da Anac, abriria espaço para o Ministério da Defesa mudar a correlação interna de poder.",OGlobo,a saída; abriria espaço
197,"E agora com mais esse título na bagagem, a seleção chega ainda com mais moral para disputar o ouro nos Jogos Pan-Americanos.",OGlobo,com mais esse título na bagagem; chega ainda com mais moral
198,"Com muitas dificuldades para armar as jogadas, o time brasileiro não conseguia pressionar o adversário.",OGlobo,Com muitas dificuldades; não conseguia pressionar
199,"A mesada seria paga pelo tesoureiro do PT, Delúbio Soares.",OGlobo,seria paga
200,"Em entrevista ao G1 na última segunda (22), ele se valeu das teses dos autores de ""Freakonomics"", livro dos norte-americanos Steven Levitt e Stephen J. Dubner, que estabelece relação entre a legalização do aborto e a redução da violência nos EUA.",OGlobo,se valeu das teses; estabelece relação entre a legalização do aborto e a redução da violência
201,O petebista fez uma metáfora futebolística para justificar o troca-troca partidário:,OGlobo,para justificar o troca-troca
202,"Draghi encarnou a posição de uma Itália pró-europeísta e atlanticista, que enviou armas, apoiou a Ucrânia e aplicou rigorosamente sanções contra a Rússia.",OGlobo,encarnou a posição; aplicou rigorosamente sanções
203,"Ela passou 70 anos no trono, atravessou crises e guerras e virou ícone pop.",OGlobo,virou ícone pop.
204,"Aos 36, Robinho fez grande jogada pela ponta esquerda, driblando de forma sensacional seu marcador e cruznado para a área.",OGlobo,fez grande jogada; de forma sensacional
205,Brasil goleia o Equador no Maracanã e faz a festa da torcida.,OGlobo,goleia; e faz a festa
206,"Também os que têm mais de 70 anos e não precisam mais votar, podem alegar o medo da violência para ficar em casa.",OGlobo,podem alegar o medo da violência para ficar em casa
207,"Jair Bolsonaro também atacou Lula - a quem voltou a chamar de ""presidiário"" - pela ausência no debate.",OGlobo,"atacou; ""presidiário"""
208,Foi o desastre mais mortal da história da Air France.,OGlobo,desastre mais mortal
209,"O Globo, Moro teria mais chances com PT no poder do que com Bolsonaro reeleito.",OGlobo,teria mais chances
210,"O voto útil tem que visar os eleitores indecisos, e os de Tebet e Ciro.",OGlobo,voto útil tem que visar
211,É o maior e mais poderoso telescópio do mundo.,OGlobo,maior e mais poderoso
212,A declaração foi feita depois de repetidos apelos para que ele não aceite a relatoria dos casos.,OGlobo,repetidos apelos
213,"Até que aos 18 minutos, Maicon recebeu de Robinho, se livrou da marcação e cruzou rasteiro para Vagner Love, livre, apenas empurrar para a rede:",OGlobo,apenas empurrar para a rede:
214,"No calendário do futebol, há uma outra premiação superimportante: o Troféu The Best, que é entregue pela FIFA aos melhores de cada ano.",OGlobo,premiação superimportante
215,"No fim do congresso, no próximo sábado (22), um terceiro mandato de Xi à frente do país deve ser confirmado, o que o tornará o líder mais longevo e poderoso da China desde Mao Tsé-Tung.",OGlobo,deve ser confirmado; o tornará o líder mais longevo e poderoso
216,"As desavenças com o presidente permaneceram até este ano, quando o chamou de ""ladrão"" da rachadinha.",OGlobo,"""ladrão"" da rachadinha."
217,"O drama humano enfrentado pelo país é sério e recorrente, já que há mais de dez anos a Coréia do Norte vem sofrendo continuamente com inundações, tufões e secas, o que em 2004 levou a Cruz Vermelha a classificar a situação de ""desastre constante"".",OGlobo,"drama; é sério e recorrente,; sofrendo continuamente com inundações, tufões e secas; ""desastre constante"""
218,"Na busca de se defender das críticas dos adversários, Bolsonaro disse que extirpou a corrupção sistêmica no Brasil, o que não confere com os fatos, afinal há investigações da Polícia Federal sobre corrupção no Ministério da Educação e na Codevasp, além de casos envolvendo o Ministério do Meio Ambiente e o Ministério da Saúde.",OGlobo,Na busca de se defender
219,Acabou em goleada o reencontro da Seleção Brasileira com a torcida carioca.,OGlobo,goleada
220,Há ainda uma pressão forte para que tenha transporte público gratuito no dia da votação.,OGlobo,Há ainda uma pressão forte
221,"Aos 39 minutos, Kaká chutou de forma despretensiosa e o goleiro Viteri levou um frangaço, fechando a goleada brasileira no Maracanã.",OGlobo,de forma despretensiosa; levou um frangaço; goleada
222,"Dois minutos depois, Ronaldinho cobrou falta e o goleiro do Equador voou no canto direito para espalmar.",OGlobo,voou
223,"Do plano internacional, Bolsonaro se resumiu a oferecer ajuda a religiosos que estão sendo perseguidos na Nicarágua, em uma outra alfinetada na direção de Lula, que não critica o governo nicaraguense.",OGlobo,em uma outra alfinetada; que não critica o governo
224,"Em uma missão histórica, o telescópio espacial James Webb foi lançado pela Nasa na manhã deste sábado (25) a partir de uma base da Agência Espacial Europeia (ESA) na Guiana Francesa.",OGlobo,Em uma missão histórica
225,"Ou seja, não se sabe quem está destinando dinheiro público e tudo é repassado na figura do relator.",OGlobo,não se sabe quem está destinando dinheiro; tudo é repassado
226,"Se depender do líder do partido, os senadores do DEM deveriam abandonar qualquer sessão com Renan no comando.",OGlobo,Se depender do líder; deveriam abandonar
227,"Ele vai complementar o Hubble, telescópio mais famoso da Nasa, que está há 31 anos em órbita.",OGlobo,mais famoso
228,"A bola quicou e explodiu no peito de Viteri, com a zaga afastando em seguida.",OGlobo,explodiu
229,"A seleção brasileira de vôlei voltou a fazer bonito, desta vez na final da Liga Mundial, disputada contra a Rússia neste domingo no ginásio de Spodekna, em Katowice, na Polônia.",OGlobo,fazer bonito
230,A primeira boa chegada foi aos nove minutos.,OGlobo,boa chegada
231,"Um minuto depois, Love fez boa jogada pela esquerda e bateu cruzado e Viteri desviou para escanteio, não assinalado pela arbitragem.",OGlobo,boa jogada
232,"Se os termos e condições negociados não forem respeitados, o desembolso do dinheiro corre o risco de atrasos significativos.",OGlobo,Se; não forem respeitados; corre o risco de atrasos significativos
233,"É razoável que muitos eleitores não queiram se expor nas ruas para não serem agredidos, o que está ficando muito recorrente.",OGlobo,É razoável: não queiram se expor; para não serem agredidos; está ficando muito recorrente
234,"São Paulo, 23 out (EFE).- O terceiro debate na TV entre os candidatos ao segundo turno das eleições presidenciais mostrou hoje novamente o presidente Luiz Inácio Lula da Silva na defensiva diante das acusações de corrupção de seu rival, Geraldo Alckmin.",OGlobo,mostrou; na defensiva diante das acusações
235,O gol deu a tranqüilidade necessária ao time brasileiro que não demorou muito para fazer o terceiro.,OGlobo,deu tranqüilidade necessária; não demorou muito
236,"O presidente da Câmara, Arlindo Chinaglia (PT-SP), evitou criticar o mérito da proposta, mas lembrou que as matérias sempre podem sofrer alterações e disse que primeiro a Casa vai terminar de votar os projetos infraconstitucionais da reforma política.",OGlobo,evitou criticar
237,"Como também foi proibido de usar as imagens das celebrações do 7 de Setembro, por ter transformado os atos em comício de campanha, o presidente tratou de citar que ""milhões de brasileiros foram às ruas convocados pelo seu presidente"", assumindo que ele fez a convocação para os atos do Bicentenário da Independência.",OGlobo,por ter transformado os atos em comício de campanha; tratou de citar; assumindo
238,"Enfrentando um adversário bem fechado, com forte marcação no meio-campo, a Seleção iniciou a partida tentando roubar as bolas e sair rápido para o ataque.",OGlobo,"adversário bem fechado, com forte marcação; tentando roubar as bolas e sair rápido"
239,"Em um raro pronunciamento pela TV, o presidente russo fez graves ameaças aos países que apoiam a Ucrânia.",OGlobo,raro pronunciamento; fez graves ameaças
240,"A zaga contrária desviou e Elano pegou de primeira, ampliando o marcador.",OGlobo,zaga contrária desviou e Elano pegou de primeira
241,"Abandonado pelo governo e se sentindo acuado, Jefferson concedeu uma entrevista em junho de 2005 denunciando a compra de votos dos parlamentares no Congresso Nacional.",OGlobo,se sentindo acuado
242,"Apesar dos dois bons momentos da Seleção, o adversário se soltava mais e passou a ameaçar.",OGlobo,bons momentos; se soltava mais
243,"Como em 2022 tem Copa do Mundo, certamente, as atuações dos craques no Catar serão decisivas para esse resultado.",OGlobo,certamente; serão decisivas
244,"O Japão fica em uma das zonas sísmicas mais ativas do mundo, e os terremotos de grande intensidade são relativamente freqüentes, apesar de não provocarem normalmente danos significativos, já que as construções do país estão preparadas para os tremores.",OGlobo,mais ativas; grande intensidade são relativamente freqüentes
245,"Aos 14, porém, Juan lançou Vagner Love, que aproveitou falha do experiente zagueiro Hurtado e acertou a trave direita, quase abrindo o placar no Maracanã.",OGlobo,aproveitou falha; quase abrindo o placar
246,O segundo tempo da reformulação da Anac não pode ser muito demorado.,OGlobo,não pode ser muito demorado.
247,A precariedade dos meios disponíveis a Pyongyang para enfrentar desastres naturais e a falta de transparência do regime comunista dificultam o acesso à informação.,OGlobo,precariedade dos meios; a falta de transparência; dificultam
248,"Além do candidato, coordenadores da campanha seguem costurando novas adesões.",OGlobo,seguem costurando
249,Alckmin sobre o tom novamente e ataca a lula por corrupção.,OGlobo,sobe o tom novamente; ataca a lula por corrupção
250,"Dizem que os moradores é que vão decidir, nos próximos dias, se as áreas devem ou não ser anexadas pela Rússia.",OGlobo,Dizem
251,"Os parlamentares acusados de envolvimento com o esquema de superfaturamento das ambulâncias têm até a meia-noite desta segunda-feira, dia 21, para renunciar ao mandato, caso queiram escapar do julgamento por quebra de decoro.",OGlobo,superfaturamento; caso queiram escapar
252,"Lula tem razão de tentar contê-la, porque os mais pobres é que sofrem.",OGlobo,tem razão; mais pobres é que sofrem
253,"Meloni também expressou apoio a essa linha, mas seu aliado, Matteo Salvini, um fervoroso admirador de Vladimir Putin e o segundo líder mais importante da coalizão de direita, discorda.",OGlobo,fervoroso admirador; segundo líder mais importante
254,"Uma nova série de ataques criminosos foi registrada na madrugada desta segunda-feira, dia 7, em São Paulo e municípios do interior paulista.",OGlobo,ataques criminosos